Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
3850,450g,450,2,No,"f(x)=x^2+1, write an expression for f(2x)",4x^2+1,2x^2+1,4x^2+2,Replace x with 2x: (2x)^2+1=4x^2+1,"Substitute 2x wherever x appears, then simplify",,,,,,,
3851,450h,450,2,No,"A graph y=f(x) is compressed horizontally by scale factor 1/2, write the new equation",y=f(2x),y=0.5f(x),y=f(0.5x),Compressing horizontally by 1/2 means multiplying x by 2 inside the brackets: f(2x),"Horizontal compressions multiply x, and the scale factor is inverted",,,,,,,
3852,450i,450,3,No,"y=3^x is translated left by 1 to give y=3^(x+1), write this as a vertical scaling y=a(3^x), finding a",a=3,a=1/3,a=9,"3^(x+1)=3x3^x, so a=3",Expand the power using index laws to separate out a constant multiplier,,,,,,,
3853,451h,451,2,No,"y=f(x) is translated by vector (2,3), write the new equation",y=f(x-2)+3,y=f(x+2)+3,y=f(x-2)-3,"A translation of (2,3) means right 2 and up 3: f(x-2)+3","Use a minus sign inside for the horizontal part, and add the vertical part outside",,,,,,,
3854,451i,451,2,No,"y=f(x) is stretched vertically by 2 and compressed horizontally by factor 1/3, write the new equation",y=2f(3x),y=3f(2x),y=2f(x/3),"Vertical stretch multiplies outside (2), horizontal compression by 1/3 multiplies x by 3 inside: 2f(3x)","Multiply outside for the vertical scale, multiply x inside for the horizontal scale (inverted)",,,,,,,
3855,451j,451,2,No,"y=f(x) is stretched vertically by 3, then translated up by 5, write the new equation",y=3f(x)+5,y=3f(x+5),y=3(f(x)+5),Vertical stretch first: 3f(x). Then translate up: 3f(x)+5,"Apply the stretch inside the outer transformation, then add the vertical shift last",,,,,,,
3856,451j,451,1,No,"f(x)=x^2, write an expression for 2f(x)+3",2x^2+3,2x^2,x^2+3,Multiply by 2 first: 2x^2. Then add 3: 2x^2+3,Apply the multiplication before adding the constant,,,,,,,
3857,451j,451,2,No,"f(x)=x^2-4, write an expression for f(x-1)+5",x^2-2x+2,x^2-2x-4,x^2-2x+6,"Replace x with (x-1): (x-1)^2-4. Then add 5: (x-1)^2+1, which expands to x^2-2x+2","Substitute (x-1) first, then add the constant, then expand fully",,,,,,,
3858,451k,451,1,No,Describe the translation from y=x^2 to y=(x-3)^2+7,"Right 3, up 7","Left 3, up 7","Right 3, down 7","A minus inside means right, and adding outside means up: right 3, up 7","Check the sign inside the brackets for horizontal, and outside for vertical",,,,,,,
3859,451l,451,2,No,"y=f(x) is translated by the vector (-2,5), write the new equation",y=f(x+2)+5,y=f(x-2)+5,y=f(x+2)-5,"A vector of (-2,5) means left 2 and up 5: f(x+2)+5",A negative first value in the vector means a plus sign inside the brackets,,,,,,,
3860,451m,451,2,No,"y=f(x) is scaled by factor 5 vertically and factor 2 horizontally (compressed), write the new equation",y=5f(2x),y=2f(5x),y=5f(x/2),"Vertical scale multiplies outside (5), horizontal compression by factor 2 multiplies x inside: 5f(2x)","Multiply outside for vertical, multiply x inside for horizontal compression",,,,,,,
3861,451n,451,3,No,"y=f(x) is translated left by 4, then stretched vertically by 2, write the new equation",y=2f(x+4),y=f(2x+4),y=2f(x)+4,Translate first: f(x+4). Then stretch vertically: 2f(x+4),"Apply the transformation inside the brackets first, then the one outside",,,,,,,
3862,452a,452,1,No,"For y=√x, find y when x=16",4,8,256,y=√16=4,Find the number that squares to give 16,,,,,,,
3863,452a,452,1,No,"For y=√x, what is the domain (allowed x-values)?",x≥0,All real x,x>0,"The square root of a negative number isn't real, so x can't be negative",Think about which values of x give a real square root,,,,,,,
3864,452a,452,1,No,"As x increases, does y=√x increase or decrease?",Increase,Decrease,Stay constant,Larger x always gives a larger square root,Bigger numbers have bigger square roots,,,,,,,
3865,452b,452,1,No,"For y=3√x, find y when x=25",15,5,75,y=3√25=3x5=15,"Find the square root first, then multiply by 3",,,,,,,
3866,452b,452,2,No,"For y=-2√x, what is the domain (allowed x-values)?",x≥0,x≤0,All real x,"The negative sign doesn't affect which x-values are allowed, only √x itself does: x≥0","Check the requirement on x from the square root, ignoring the coefficient",,,,,,,
3867,452b,452,2,No,"For y=-2√x, does y increase or decrease as x increases?",Decrease,Increase,Stay constant,The negative coefficient flips the usual increasing behaviour of √x,"A negative multiplier reflects the graph, reversing its direction",,,,,,,
3868,452c,452,1,Yes,"For y=8/√x, find y when x=4",4,16,2,y=8/√4=8/2=4,"Find the square root first, then divide",,,,,,,
3869,452c,452,2,No,"For y=5/√x, what values of x must be excluded from the domain?",x≤0,x=0 only,No values need excluding,"x can't be 0 (division by zero) or negative (no real square root), so x must be greater than 0",Think about both the square root and the division separately,,,,,,,
3870,452c,452,3,No,"For y=1/√x, what happens to y as x approaches 0 from the positive side?",y increases without bound,y approaches 0,y approaches 1,Dividing by a very small positive number gives a very large result,"As the denominator shrinks towards 0, the fraction grows",,,,,,,
3871,452d,452,2,Yes,"For y=2√(x+3), find y when x=6",6,2√9,18,y=2√(6+3)=2√9=2x3=6,"Add inside the root first, then square root, then multiply",,,,,,,
3872,452d,452,2,No,"For y=√(x-5), what is the domain (allowed x-values)?",x≥5,x≥0,x≥-5,"The expression inside the root must be ≥0: x-5≥0, so x≥5",Set the expression inside the root to be greater than or equal to zero,,,,,,,
3873,452d,452,1,No,"Compared to y=√x, how is y=√(x+4) transformed?",Translated left by 4,Translated right by 4,Translated up by 4,Adding inside the root shifts the graph left,A plus sign inside the brackets moves the graph left,,,,,,,
3874,452e,452,2,Yes,"For y=2∛(x+6), find y when x=2",4,2∛8,16,y=2∛(2+6)=2∛8=2x2=4,"Add inside the root first, then cube root, then multiply",,,,,,,
3875,452e,452,1,No,"For y=∛(x+7), what is the domain (allowed x-values)?",All real x,x≥-7,x≥0,"Cube roots are defined for negative numbers too, so there's no restriction on x","Unlike square roots, cube roots work for negative numbers as well",,,,,,,
3876,452e,452,1,No,"Compared to y=∛x, how is y=∛(x-3) transformed?",Translated right by 3,Translated left by 3,Translated up by 3,Subtracting inside the root shifts the graph right,A minus sign inside the brackets moves the graph right,,,,,,,
3877,453a,453,1,No,Give a counterexample to disprove: all prime numbers are odd,n=2,n=3,n=9,"2 is prime but even, so the conjecture is false",Think of a prime number that isn't odd,,,,,,,
3878,453b,453,2,No,"The number 9 is used as a counterexample, explain why it disproves: all odd numbers are prime",9 is odd but not prime (9=3x3),9 is even,9 is prime,"9 is odd, but it factorises as 3x3, so it isn't prime","Check whether 9 is odd, then whether it's prime",,,,,,,
3879,453c,453,2,No,Find a counterexample (try n=4) to show n^2+n+1 is not always prime,"n=4 gives 21, not prime","n=4 gives 21, prime","n=4 gives 16, not prime","n^2+n+1 at n=4 is 16+4+1=21=3x7, which is not prime",Substitute n=4 and check if the result has factors other than 1 and itself,,,,,,,
3880,453d,453,3,No,Is x^2>x true for all real x? State any constraint,Only true for x>1 or x<0,True for all real x,Only true for x>0,"At x=0.5, x^2=0.25 which is less than x=0.5, so it isn't always true",Try a value of x between 0 and 1,,,,,,,
3881,454a,454,1,No,Show that 5n+10 is always a multiple of 5,5n+10=5(n+2),5n+10=5n(2),5n+10 is not always a multiple of 5,"Factorise: 5n+10=5(n+2), which is 5 times an integer",Factorise out the common factor of 5,,,,,,,
3882,454b,454,1,No,Is 2n+3 always odd or always even?,Always odd,Always even,Neither,"2n is always even, and even+3 is always odd",Adding an odd number to an even number always gives an odd result,,,,,,,
3883,454c,454,1,No,Show that 4n+2 is always even,4n+2=2(2n+1),4n+2=4(n+2),4n+2=2n+2,"Factorise: 4n+2=2(2n+1), which is 2 times an integer, so always even",Factorise out a 2 to show it's 2 times an integer,,,,,,,
3884,454d,454,2,No,Show that (2n+1)^2 is always odd,(2n+1)^2=4n^2+4n+1=2(2n^2+2n)+1,(2n+1)^2=4n^2+1,(2n+1)^2=2n^2+2n+1,"Expand: 4n^2+4n+1=2(2n^2+2n)+1, which is 2 times an integer, plus 1, so always odd","Expand first, then factor 2 out of the even terms",,,,,,,
3885,454e,454,1,No,Show that 6n+9 is always a multiple of 3,6n+9=3(2n+3),6n+9=6(n+3),6n+9 is not always a multiple of 3,"Factorise: 6n+9=3(2n+3), which is 3 times an integer",Factorise out the common factor of 3,,,,,,,
3886,454f,454,2,No,Show that 8n+6 is always 2 less than a multiple of 8,8n+6=8(n+1)-2,8n+6=8(n+1)+2,8n+6=8n(1)-2,"8(n+1)=8n+8, and 8n+6 is 2 less than this: 8(n+1)-2","Find the nearest multiple of 8 above the expression, then find the difference",,,,,,,
3887,454g,454,1,No,"Write expressions for three consecutive integers, starting with n","n, n+1, n+2","n, 2n, 3n","n, n+2, n+4","Each integer is one more than the last: n, n+1, n+2",Add 1 each time to get the next consecutive integer,,,,,,,
3888,454h,454,2,No,Prove that the sum of three consecutive integers is always a multiple of 3,n+(n+1)+(n+2)=3n+3=3(n+1),n+(n+1)+(n+2)=3n+2,n+(n+1)+(n+2)=3n,"Adding the three expressions gives 3n+3=3(n+1), which is 3 times an integer","Add the three consecutive expressions together, then factorise",,,,,,,
3889,454i,454,2,No,Prove that the difference between (n+1)^2 and n^2 is always odd,(n+1)^2-n^2=2n+1,(n+1)^2-n^2=2n,(n+1)^2-n^2=n+1,"Expanding and simplifying: (n+1)^2-n^2=2n+1, which is 2 times an integer plus 1, so odd","Expand (n+1)^2 first, then subtract n^2 and simplify",,,,,,,
3890,454j,454,1,No,"Write expressions for three consecutive even integers, starting with 2n","2n, 2n+2, 2n+4","2n, 2n+1, 2n+2","2n, 4n, 6n","Each even integer is 2 more than the last: 2n, 2n+2, 2n+4",Add 2 each time to get the next even integer,,,,,,,
3891,454k,454,2,No,Prove that the sum of three consecutive odd numbers is always a multiple of 3,(2n+1)+(2n+3)+(2n+5)=6n+9=3(2n+3),(2n+1)+(2n+3)+(2n+5)=6n+6,"(2n+1)+(2n+3)+(2n+5)=6n+9, not a multiple of 3","Adding gives 6n+9=3(2n+3), which is 3 times an integer","Add the three consecutive odd expressions together, then factorise",,,,,,,
3892,454l,454,3,No,Prove that the sum of the squares of 2n and 2n+2 is always a multiple of 4,(2n)^2+(2n+2)^2=8n^2+8n+4=4(2n^2+2n+1),(2n)^2+(2n+2)^2=4n^2+4n+4,(2n)^2+(2n+2)^2=8n^2+4,"Expanding and simplifying gives 8n^2+8n+4=4(2n^2+2n+1), which is 4 times an integer","Expand both squares, add them, then factorise out a 4",,,,,,,
3893,454m,454,1,No,Write expressions for two different (not necessarily consecutive) even integers,2n and 2m,2n and 2n+2,n and m,Using different letters shows the integers don't have to be related: 2n and 2m,"Use two different letters, since the integers aren't necessarily consecutive",,,,,,,
3894,454n,454,2,No,Prove that the sum of two different odd numbers (2n+1) and (2m+1) is always even,(2n+1)+(2m+1)=2n+2m+2=2(n+m+1),(2n+1)+(2m+1)=2n+2m+1,(2n+1)+(2m+1)=2(n+m)+1,"Adding gives 2n+2m+2=2(n+m+1), which is 2 times an integer, so always even","Add the two expressions, then factorise out a 2",,,,,,,
3895,454o,454,2,No,"Three consecutive integers sum to 72, find them","23, 24, 25","22, 24, 26","24, 24, 24","n+(n+1)+(n+2)=72 simplifies to 3n+3=72, giving n=23, so the integers are 23, 24, 25","Write the sum as 3n+3, set it equal to 72, then solve for n",,,,,,,
3896,454p,454,1,No,Prove that n^2+2n+1 is always a perfect square,n^2+2n+1=(n+1)^2,n^2+2n+1=(n+2)^2,n^2+2n+1 is not always a perfect square,"Factorise: n^2+2n+1=(n+1)^2, which is a perfect square by definition",Factorise the expression as a perfect square trinomial,,,,,,,
3897,456a,456,1,No,"Does the point (2,3) satisfy x<5 and y<4?",Yes,No,Cannot tell,"2<5 is true and 3<4 is true, so both conditions hold",Check each inequality separately,,,,,,,
3898,456b,456,1,No,"Does the point (1,1) satisfy y<2x+3?",Yes,No,Cannot tell,"At x=1, 2x+3=5, and 1<5 is true",Substitute the point's coordinates into the inequality,,,,,,,
3899,456c,456,1,No,"Does the point (6,2) satisfy x<5 and y<4?",No,Yes,Cannot tell,"6<5 is false, so the point fails the first condition","Check each inequality; if one fails, the point isn't in the region",,,,,,,
3900,456d,456,2,No,"Does the point (3,1) satisfy y>x-4 and y<2x?",Yes,No,Cannot tell,"1>-1 is true and 1<6 is true, so both conditions hold",Check each inequality separately,,,,,,,
3901,456e,456,2,No,"Does the point (2,2) satisfy x>0, y>0 and x+y<5?",Yes,No,Cannot tell,"2>0, 2>0, and 4<5 are all true",Check all three conditions,,,,,,,
3902,456f,456,2,No,How many integer points satisfy 0<x<4 and 0<y<3?,6,12,20,"x can be 1,2,3 (3 values) and y can be 1,2 (2 values), giving 3x2=6 points","Count the valid integer values for x and y separately, then multiply",,,,,,,
3903,456h,456,1,No,"Given x>7, is it necessarily true that x>5?",Yes,No,Cannot tell,Any number greater than 7 is automatically greater than 5,Check whether the given condition is stricter than the one being tested,,,,,,,
3904,456i,456,2,No,"Does the point (1,2) satisfy y<x^2+2 and y>x?",Yes,No,Cannot tell,"At x=1: x^2+2=3, and 2<3 is true. Also 2>1 is true",Substitute the point into both inequalities,,,,,,,
3905,457a,457,1,No,Write in set notation: x is greater than 3 and less than or equal to 8,{x: 3<x≤8},{x: 3≤x<8},{x: 3<x<8},The lower bound is strict (>) and the upper bound is inclusive (≤),Match each inequality symbol exactly to the wording,,,,,,,
3906,457b,457,2,No,Write in set notation: x<2 or x≥6,{x: x<2} ∪ {x: x≥6},{x: x<2} ∩ {x: x≥6},{x: 2<x<6},Or between two separate ranges uses the union symbol,Use the union symbol to join two separate ranges,,,,,,,
3907,457c,457,2,No,Write in set notation: x is an odd number,"{x: x=2n+1, n∈ℤ}","{x: x=2n, n∈ℤ}",{x: x>0},Every odd number can be written as 2n+1 for some integer n,Odd numbers follow the pattern 2n+1,,,,,,,
3908,458a,458,2,No,Solve x^2+x-6>0,x<-3 or x>2,'-3<x<2,x>2,"Factorise: (x+3)(x-2)>0, so x<-3 or x>2","Factorise, find the roots, then sketch or test to see which side is positive",,,,,,,
3909,458a,458,2,No,Solve x^2+2x-8>0,x<-4 or x>2,'-4<x<2,x>2,"Factorise: (x+4)(x-2)>0, so x<-4 or x>2","Factorise, find the roots, then sketch or test to see which side is positive",,,,,,,
3910,458b,458,1,No,Solve x^2-4x<0,0<x<4,x<0 or x>4,x<4,"Factorise: x(x-4)<0, so 0<x<4","Factorise, find the roots, then test to see which side is negative",,,,,,,
3911,458b,458,1,No,Solve x^2-6x<0,0<x<6,x<0 or x>6,x<6,"Factorise: x(x-6)<0, so 0<x<6","Factorise, find the roots, then test to see which side is negative",,,,,,,
3912,458c,458,1,No,Solve x^2-9>0,x<-3 or x>3,'-3<x<3,x>3,"Factorise: (x-3)(x+3)>0, so x<-3 or x>3",Factorise as a difference of two squares first,,,,,,,
3913,458c,458,1,No,Solve x^2-16>0,x<-4 or x>4,'-4<x<4,x>4,"Factorise: (x-4)(x+4)>0, so x<-4 or x>4",Factorise as a difference of two squares first,,,,,,,
3914,458c,458,1,No,Solve x^2>4,x<-2 or x>2,'-2<x<2,x>2,Take the square root of both sides: x<-2 or x>2,Remember there are two cases when square rooting an inequality,,,,,,,
3915,458c,458,1,No,Solve x^2<9,'-3<x<3,x<-3 or x>3,x<3,Take the square root of both sides: -3<x<3,"Remember the solution is a range between two values, not two separate regions",,,,,,,
3916,458c,458,1,No,Solve x^2>25,x<-5 or x>5,'-5<x<5,x>5,Take the square root of both sides: x<-5 or x>5,Remember there are two cases when square rooting an inequality,,,,,,,
3917,458d,458,2,No,Solve x^2+3x>10,x<-5 or x>2,'-5<x<2,x>2,"Rearrange: x^2+3x-10>0, which factorises to (x+5)(x-2)>0, so x<-5 or x>2","Rearrange to equal zero first, then factorise",,,,,,,
3918,458d,458,2,No,Solve x^2+2x>15,x<-5 or x>3,'-5<x<3,x>3,"Rearrange: x^2+2x-15>0, which factorises to (x+5)(x-3)>0, so x<-5 or x>3","Rearrange to equal zero first, then factorise",,,,,,,
3919,458e,458,3,No,Solve (x+2)(x-1)<4,'-3<x<2,x<-3 or x>2,'-2<x<1,"Expand and rearrange: x^2+x-6<0, which factorises to (x+3)(x-2)<0, so -3<x<2","Expand first, then rearrange to equal zero, then factorise",,,,,,,
3920,458e,458,3,No,Solve (x+3)(x-2)<6,'-4<x<3,x<-4 or x>3,'-3<x<2,"Expand and rearrange: x^2+x-12<0, which factorises to (x+4)(x-3)<0, so -4<x<3","Expand first, then rearrange to equal zero, then factorise",,,,,,,
3921,458f,458,2,No,Solve 2x^2-3x-2>0,x<-1/2 or x>2,'-1/2<x<2,x>2,"Factorise: (2x+1)(x-2)>0, so x<-1/2 or x>2",Factorise using the method for ax^2+bx+c with a>1,,,,,,,
3922,458g,458,3,No,Solve 2x^2+5x>12,x<-4 or x>3/2,'-4<x<3/2,x>3/2,"Rearrange: 2x^2+5x-12>0, which factorises to (2x-3)(x+4)>0, so x<-4 or x>3/2","Rearrange to equal zero first, then factorise",,,,,,,
3923,458h,458,3,No,Solve (2x+1)(x-3)<9,'-3/2<x<4,x<-3/2 or x>4,'-3<x<4,"Expand and rearrange: 2x^2-5x-12<0, which factorises to (2x+3)(x-4)<0, so -3/2<x<4","Expand first, then rearrange to equal zero, then factorise",,,,,,,
3924,458i,458,2,No,Solve 3x^2>6x,x<0 or x>2,0<x<2,x>2,"Rearrange: 3x^2-6x>0, so 3x(x-2)>0, giving x<0 or x>2","Rearrange so one side is zero, then factorise",,,,,,,
3925,458j,458,1,No,Solve 4x^2>36,x<-3 or x>3,'-3<x<3,x>3,"Divide by 4: x^2>9, so x<-3 or x>3","Simplify by dividing first, then take the square root of both sides",,,,,,,
3926,458k,458,2,No,Solve -x^2+2x+8>0,'-2<x<4,x<-2 or x>4,x<4,"Multiply by -1 (flip the inequality): x^2-2x-8<0, which factorises to (x-4)(x+2)<0, so -2<x<4","Multiply through by -1 first, remembering to flip the inequality",,,,,,,
3927,458l,458,2,No,"f(x)=x^2-4, solve f(x)>0",x<-2 or x>2,'-2<x<2,x>2,"x^2-4>0 factorises to (x-2)(x+2)>0, so x<-2 or x>2","Substitute f(x) with its expression, then solve as usual",,,,,,,
3928,458m,458,3,No,Solve (x^2-9)/(x^2+1) > 0,x<-3 or x>3,'-3<x<3,x>3,"Since x^2+1 is always positive, this is equivalent to x^2-9>0, giving x<-3 or x>3","The denominator is always positive, so it doesn't affect the inequality direction",,,,,,,
3929,458n,458,2,No,"Solve x^2-x-6<0, using set notation",{x: -2<x<3},{x: x<-2} ∪ {x: x>3},{x: -2≤x≤3},"Factorise: (x-3)(x+2)<0, so -2<x<3, written as {x: -2<x<3}","Solve as usual, then write the answer using set notation",,,,,,,
3930,458o,458,3,No,Solve x^2-4<0 and x>-1 together,'-1<x<2,'-2<x<2,'-2<x<-1,x^2-4<0 gives -2<x<2. Combining with x>-1 gives -1<x<2,"Solve the quadratic inequality first, then find where it overlaps with the linear one",,,,,,,
3931,458p,458,3,No,"The nth term of a sequence is n^2-5n, find the positive integers n for which the term is negative","n=1,2,3,4","n=0,1,2,3,4,5","n=5,6,7","n^2-5n<0 factorises to n(n-5)<0, so 0<n<5, giving n=1,2,3,4","Factorise, solve the inequality, then list the integers in that range",,,,,,,
3932,458q,458,3,Yes,"A ball's height is h=20t-5t^2, find the times when the height is above 15m",1<t<3,0<t<4,t<1 or t>3,"20t-5t^2>15 rearranges to t^2-4t+3<0, which factorises to (t-1)(t-3)<0, so 1<t<3","Rearrange to standard form, flipping the inequality if needed, then factorise",,,,,,,
3933,459a,459,1,No,"A speed-time graph shows speeds of 0, 8, 15, 12, 5 m/s at five time points, find the max and min speed","Max=15, min=0","Max=15, min=5","Max=12, min=0",The largest value is 15 and the smallest is 0,Scan the list of speeds for the highest and lowest values,,,,,,,
3934,459b,459,1,No,"Between t=0 and t=6s, a car's speed increases steadily from 0 to 24 m/s, what type of motion is this?",Uniform acceleration,Uniform deceleration,Constant speed,A steady increase in speed over time is uniform acceleration,Steady increase means the rate of change is constant,,,,,,,
3935,459d,459,2,Yes,"A car's speed increases from 5 m/s to 25 m/s over 4 seconds (constant rate), find the acceleration",5 m/s²,20 m/s²,6.25 m/s²,Acceleration=(25-5)/4=5 m/s²,Divide the change in speed by the time taken,,,,,,,
3936,459f,459,2,Yes,"A car accelerates uniformly at 3 m/s² for 8 seconds, starting from rest, find its final speed",24 m/s,11 m/s,3 m/s,Final speed=0+3x8=24 m/s,Multiply the acceleration by the time,,,,,,,
3937,459g,459,2,Yes,"A car accelerates uniformly from 0 to 20 m/s over 10 seconds, find the distance travelled",100m,200m,20m,Area of the triangle=(1/2)(10)(20)=100m,"Use (1/2) x base x height, treating the graph as a triangle",,,,,,,
3938,459h,459,3,Yes,"A car travels at a constant 10 m/s for 5s, then decelerates to rest over 3s, find the total distance",65m,50m,15m,Constant stage: 10x5=50m. Deceleration stage: (1/2)(3)(10)=15m. Total=65m,Add the rectangle (constant speed) and triangle (deceleration) areas separately,,,,,,,
3939,459i,459,2,Yes,"A car accelerates uniformly from rest to 12 m/s, covering 36m, find the time taken",6s,3s,72s,"(1/2)(t)(12)=36, so 6t=36, giving t=6","Use the triangle area formula, then solve for time",,,,,,,
3940,459j,459,2,Yes,"A car accelerates uniformly from rest over 8 seconds, covering 64m, find its final speed",16 m/s,8 m/s,128 m/s,"(1/2)(8)(v)=64, so 4v=64, giving v=16","Use the triangle area formula, then solve for the final speed",,,,,,,
3941,459k,459,3,Yes,Car A's distance is d=15t+40. Car B's distance is d=2.5t^2. Find when B catches up to A,t=8s,t=2s,t=6s,"2.5t²=15t+40 rearranges to t²-6t-16=0, which factorises to (t-8)(t+2)=0, giving t=8 (positive)","Set the two distance expressions equal, then solve the resulting quadratic",,,,,,,
3942,460a,460,2,Yes,"A curve has y-values 2, 5, 9 at x=0,1,2 (strip width 1), estimate the area using the trapezium rule",10.5,16,21,Area=(1/2)[2+9+2(5)]=(1/2)(21)=10.5,"Add the two end values, add twice the middle value, then multiply by half the width",,,,,,,
3943,460c,460,3,Yes,"A curve has y-values 1,3,7,13 at x=0,2,4,6 (3 strips of width 2), estimate the area using the trapezium rule",34,28,42,Area=(2/2)[1+13+2(3+7)]=1x34=34,"Add the two end values, add twice the sum of the middle values, then multiply by half the strip width",,,,,,,
3944,460e,460,2,No,"A curve bulges upward between two points (concave down), is the trapezium estimate an overestimate or underestimate?",Underestimate,Overestimate,Exactly correct,"The straight-line chord sits below a concave-down curve, so the trapezium misses some area",Picture whether the straight line sits above or below the curve,,,,,,,
3945,460f,460,3,Yes,"A speed-time graph has speeds 2,6,11,15 m/s at t=0,2,4,6 (3 strips of width 2), estimate the distance using the trapezium rule",51m,45m,60m,Distance=(2/2)[2+15+2(6+11)]=1x51=51,"Add the two end speeds, add twice the sum of the middle speeds, then multiply by half the strip width",,,,,,,
3946,460i,460,2,No,"A tank's water flows in at a rate shown on a rate-time graph, what does the area under this graph represent?",The total volume of water that has flowed in,The total time elapsed,The maximum flow rate,Area under a rate-time graph always gives the total accumulated quantity,"Rate x time gives a total amount, which is exactly what area represents",,,,,,,
3947,461a,461,1,Yes,"A curve passes through (1,3) and (4,15), estimate the average rate of change between these points",4,12,4.33,Gradient=(15-3)/(4-1)=12/3=4,Use the standard gradient formula between the two points,,,,,,,
3948,461b,461,2,Yes,"A curve is y=x^2, estimate the gradient at x=2 using the points where x=1.9 and x=2.1",4,4.4,0.2,"y(1.9)=3.61, y(2.1)=4.41. Gradient=(4.41-3.61)/(2.1-1.9)=4",Use two points very close to x=2 to estimate the gradient at that point,,,,,,,
3949,461c,461,1,Yes,"A tank's volume is 20L at t=2min and 50L at t=5min, estimate the average rate of change of volume",10 L/min,30 L/min,3.3 L/min,Rate=(50-20)/(5-2)=10 L/min,Divide the change in volume by the change in time,,,,,,,
3950,461d,461,3,Yes,"A plant's height is h=t^2+2t cm, estimate the growth rate at t=3 using t=2.9 and t=3.1",8 cm/min,7.2 cm/min,15.8 cm/min,"h(2.9)=14.21, h(3.1)=15.81. Rate=(15.81-14.21)/(3.1-2.9)=8",Use two values very close to t=3 to estimate the rate at that instant,,,,,,,
3951,461e,461,1,Yes,"A car's distance is 10m at t=2s and 50m at t=6s (curved graph), estimate the average speed",10 m/s,40 m/s,2.5 m/s,Speed=(50-10)/(6-2)=10 m/s,Divide the change in distance by the change in time,,,,,,,
3952,461f,461,2,Yes,"A car's distance is d=t^2 m, estimate the velocity at t=3s using t=2.9 and t=3.1",6 m/s,9 m/s,0.2 m/s,"d(2.9)=8.41, d(3.1)=9.61. Velocity=(9.61-8.41)/(3.1-2.9)=6",Use two values very close to t=3 to estimate the velocity at that instant,,,,,,,
3953,461g,461,1,Yes,"A car's speed is 5m/s at t=1s and 25m/s at t=5s (curved graph), estimate the average acceleration",5 m/s²,20 m/s²,1.25 m/s²,Acceleration=(25-5)/(5-1)=5 m/s²,Divide the change in speed by the change in time,,,,,,,
3954,461h,461,3,Yes,"A car's speed is v=t^2+3t m/s, estimate the acceleration at t=4s using t=3.9 and t=4.1",11 m/s²,10.6 m/s²,28 m/s²,"v(3.9)=26.91, v(4.1)=29.11. Acceleration=(29.11-26.91)/(4.1-3.9)=11",Use two values very close to t=4 to estimate the acceleration at that instant,,,,,,,
3955,461i,461,1,No,"A graph shows temperature against time, what does the gradient of this graph represent?",The rate of change of temperature over time,The total temperature change,The average temperature,Gradient always represents how fast the y-value is changing with respect to x,Gradient is always a rate: change in y per unit of x,,,,,,,
3956,462a,462,2,No,Solve x + 6/x = 5,x=2 or x=3,x=-2 or x=-3,x=1 or x=6,"Multiply by x: x²+6=5x, so x²-5x+6=0, which factorises to (x-2)(x-3)=0","Multiply every term by x to clear the fraction, then rearrange",,,,,,,
3957,462b,462,2,No,Solve 8/x = x-2,x=4 or x=-2,x=4 or x=2,x=-4 or x=2,"Cross multiply: 8=x(x-2)=x²-2x, so x²-2x-8=0, which factorises to (x-4)(x+2)=0","Cross multiply to clear the fraction, then rearrange to equal zero",,,,,,,
3958,462c,462,2,No,Solve 3/x = x/12,x=6 or x=-6,x=36 or x=-36,x=6 only,"Cross multiply: 36=x², so x=±6","Cross multiply, then remember both square roots",,,,,,,
3959,462d,462,3,No,Solve x/2 + 4/x = 3,x=2 or x=4,x=-2 or x=-4,x=1 or x=6,"Multiply by 2x: x²+8=6x, so x²-6x+8=0, which factorises to (x-2)(x-4)=0","Multiply every term by the lowest common denominator, then rearrange",Solve {x/2} + {4/x} = 3,,,,,,
3960,462e,462,3,No,Solve (x+1)/(x^2-1) + 2/(x+1) = 1,x=0 or x=3,x=0 only,x=3 only,"Factorise: x²-1=(x-1)(x+1), so the first fraction simplifies to 1/(x-1). This gives 1/(x-1)+2/(x+1)=1, which leads to x²-3x=0, so x=0 or x=3",Factorise the quadratic denominator first to simplify the first fraction,Solve {x+1/x^2-1} + {2/x+1} = 1,,,,"Factorise: x²-1=(x-1)(x+1), so the first fraction simplifies to {1/x-1}. This gives {1/x-1}+{2/x+1}=1, which leads to x²-3x=0, so x=0 or x=3",,
3961,462g,462,3,No,"Three terms of a geometric sequence are x, x+4, and 9x, form and solve an equation to find x",x=2 or x=-1,x=2 only,x=4 or x=-2,"(x+4)/x=9x/(x+4), so (x+4)²=9x², which simplifies to x²-x-2=0, giving x=2 or x=-1","Set the ratio between consecutive terms equal, then cross multiply",,,,,,,
3962,462h,462,3,No,"The reciprocal of a number plus twice the number equals 4.5, find the number",x=1/4 or x=2,x=2 only,x=1/4 only,"1/x+2x=4.5. Multiplying by x: 1+2x²=4.5x, so 4x²-9x+2=0, which factorises to (4x-1)(x-2)=0","Multiply through by x to clear the fraction, then rearrange to a standard quadratic",,,,,,,
